TWT,AMP
1391.96,0.000108272
1392.04,0.00011965
1392.12,0.000131569
1392.2,0.000144248
1392.28,0.000157428
1392.36,0.000171126
1392.44,0.000185359
1392.52,0.000200028
1392.6,0.000215222
1392.68,0.000230932
1392.76,0.000246946
1392.84,0.000263577
1392.92,0.000280853
1393,0.00029881
1393.08,0.000317894
1393.16,0.000337672
1393.24,0.000358113
1393.32,0.000379149
1393.4,0.000400918
1393.48,0.000423366
1393.56,0.00044646
1393.64,0.000469977
1393.72,0.000494581
1393.8,0.000520153
1393.88,0.00054663
1393.96,0.000574535
1394.04,0.000603105
1394.12,0.000632395
1394.2,0.000662383
1394.28,0.000693295
1394.36,0.000725162
1394.44,0.00075802
1394.52,0.000791991
1394.6,0.000827061
1394.68,0.000863224
1394.76,0.000900491
1394.84,0.000938756
1394.92,0.000978136
1395,0.001018657
1395.08,0.001060344
1395.16,0.001103238
1395.24,0.00114739
1395.32,0.001192825
1395.4,0.001239557
1395.48,0.001287616
1395.56,0.001337
1395.64,0.00138772
1395.72,0.001439789
1395.8,0.001493162
1395.88,0.001547871
1395.96,0.001603934
1396.04,0.001661436
1396.12,0.001720493
1396.2,0.001781153
1396.28,0.001843446
1396.36,0.001907333
1396.44,0.001972823
1396.52,0.002039937
1396.6,0.002108769
1396.68,0.002179168
1396.76,0.002251153
1396.84,0.002324727
1396.92,0.002399883
1397,0.002476771
1397.08,0.002555417
1397.16,0.002635844
1397.24,0.002718073
1397.32,0.002802116
1397.4,0.002888008
1397.48,0.002975808
1397.56,0.003065604
1397.64,0.003157465
1397.72,0.003251408
1397.8,0.003347427
1397.88,0.00344545
1397.96,0.0035455
1398.04,0.003647584
1398.12,0.003751672
1398.2,0.003857772
1398.28,0.003965946
1398.36,0.004076222
1398.44,0.00418861
1398.52,0.004303094
1398.6,0.004419725
1398.68,0.004538529
1398.76,0.004659535
1398.84,0.004783021
1398.92,0.004908933
1399,0.005037248
1399.08,0.00516793
1399.16,0.005301025
1399.24,0.005436412
1399.32,0.005574045
1399.4,0.005713743
1399.48,0.005855777
1399.56,0.006000178
1399.64,0.006146972
1399.72,0.006296204
1399.8,0.00644786
1399.88,0.006601912
1399.96,0.006758335
1400.04,0.006917031
1400.12,0.007078138
1400.2,0.00724167
1400.28,0.007407652
1400.36,0.007576219
1400.44,0.007747319
1400.52,0.007920909
1400.6,0.008096922
1400.68,0.008275336
1400.76,0.008456292
1400.84,0.008639821
1400.92,0.008825957
1401,0.009014509
1401.08,0.009205373
1401.16,0.009398527
1401.24,0.009593918
1401.32,0.009791562
1401.4,0.009991604
1401.48,0.010194083
1401.56,0.010399044
1401.64,0.010606341
1401.72,0.010815941
1401.8,0.011027824
1401.88,0.011241984
1401.96,0.011458397
1402.04,0.01167705
1402.12,0.011897923
1402.2,0.012120998
1402.28,0.012346223
1402.36,0.012573564
1402.44,0.012802984
1402.52,0.013034417
1402.6,0.013267861
1402.68,0.013503294
1402.76,0.013740687
1402.84,0.013980015
1402.92,0.014221212
1403,0.01446423
1403.08,0.014709019
1403.16,0.01495553
1403.24,0.015203784
1403.32,0.015453685
1403.4,0.015705144
1403.48,0.01595831
1403.56,0.016212912
1403.64,0.01646891
1403.72,0.016726257
1403.8,0.016984716
1403.88,0.017244342
1403.96,0.017505061
1404.04,0.017766778
1404.12,0.018029497
1404.2,0.01829319
1404.28,0.018557792
1404.36,0.01882323
1404.44,0.019089531
1404.52,0.019356552
1404.6,0.01962417
1404.68,0.019892232
1404.76,0.020160572
1404.84,0.020429178
1404.92,0.020697928
1405,0.020966565
1405.08,0.021235242
1405.16,0.021503834
1405.24,0.021772249
1405.32,0.022040471
1405.4,0.022308384
1405.48,0.022575897
1405.56,0.022842933
1405.64,0.023109505
1405.72,0.02337534
1405.8,0.023640308
1405.88,0.023904274
1405.96,0.024166965
1406.04,0.02442839
1406.12,0.024688511
1406.2,0.024947271
1406.28,0.025204712
1406.36,0.025460522
1406.44,0.025714551
1406.52,0.025966656
1406.6,0.026216459
1406.68,0.02646392
1406.76,0.026708952
1406.84,0.026951449
1406.92,0.027191451
1407,0.027428909
1407.08,0.027663698
1407.16,0.027895672
1407.24,0.028124773
1407.32,0.028350609
1407.4,0.028572959
1407.48,0.028791546
1407.56,0.029006538
1407.64,0.029217913
1407.72,0.029425584
1407.8,0.029629473
1407.88,0.029829148
1407.96,0.030024521
1408.04,0.030215379
1408.12,0.030401399
1408.2,0.030582575
1408.28,0.030758814
1408.36,0.030929984
1408.44,0.031095969
1408.52,0.031256624
1408.6,0.031411817
1408.68,0.031561422
1408.76,0.031705359
1408.84,0.031843404
1408.92,0.031975413
1409,0.032101249
1409.08,0.032220811
1409.16,0.032334035
1409.24,0.032440801
1409.32,0.032540973
1409.4,0.032634376
1409.48,0.032720759
1409.56,0.032799992
1409.64,0.032871919
1409.72,0.032936086
1409.8,0.032992636
1409.88,0.03304146
1409.96,0.033082442
1410.04,0.033115448
1410.12,0.033140344
1410.2,0.033157058
1410.28,0.033165523
1410.36,0.033165569
1410.44,0.033157008
1410.52,0.033139729
1410.6,0.033113622
