TWT,AMP
1371,-0.054225766
1371.08,-0.055140882
1371.16,-0.05605154
1371.24,-0.056957365
1371.32,-0.057858002
1371.4,-0.058753105
1371.48,-0.059642365
1371.56,-0.06052542
1371.64,-0.061401916
1371.72,-0.062271517
1371.8,-0.063133861
1371.88,-0.063988669
1371.96,-0.064835676
1372.04,-0.065674565
1372.12,-0.066505061
1372.2,-0.067326985
1372.28,-0.068139927
1372.36,-0.068943618
1372.44,-0.069737803
1372.52,-0.07052221
1372.6,-0.071296592
1372.68,-0.072060697
1372.76,-0.072814387
1372.84,-0.073557437
1372.92,-0.074289599
1373,-0.075010643
1373.08,-0.07572031
1373.16,-0.076418436
1373.24,-0.077104855
1373.32,-0.077779432
1373.4,-0.078441741
1373.48,-0.079091566
1373.56,-0.079728737
1373.64,-0.080353104
1373.72,-0.080964644
1373.8,-0.081563417
1373.88,-0.082149436
1373.96,-0.08272241
1374.04,-0.08328232
1374.12,-0.083828751
1374.2,-0.08436167
1374.28,-0.084880938
1374.36,-0.085386303
1374.44,-0.08587767
1374.52,-0.086355122
1374.6,-0.086818726
1374.68,-0.087268699
1374.76,-0.087704839
1374.84,-0.088127103
1374.92,-0.088535143
1375,-0.088928981
1375.08,-0.089308557
1375.16,-0.08967375
1375.24,-0.090024546
1375.32,-0.090361026
1375.4,-0.090683493
1375.48,-0.090991775
1375.56,-0.091285984
1375.64,-0.091566074
1375.72,-0.091832014
1375.8,-0.092083694
1375.88,-0.092321159
1375.96,-0.092544469
1376.04,-0.092753746
1376.12,-0.092949264
1376.2,-0.09313088
1376.28,-0.093298629
1376.36,-0.093452628
1376.44,-0.093592963
1376.52,-0.09371966
1376.6,-0.093832759
1376.68,-0.09393228
1376.76,-0.094018378
1376.84,-0.094091174
1376.92,-0.09415069
1377,-0.094196989
1377.08,-0.094230191
1377.16,-0.094250407
1377.24,-0.094257734
1377.32,-0.09425234
1377.4,-0.094234356
1377.48,-0.094203871
1377.56,-0.094161018
1377.64,-0.094105897
1377.72,-0.094038549
1377.8,-0.093959058
1377.88,-0.093867632
1377.96,-0.09376446
1378.04,-0.093649578
1378.12,-0.093523197
1378.2,-0.093385468
1378.28,-0.093236355
1378.36,-0.093076091
1378.44,-0.092904783
1378.52,-0.092722406
1378.6,-0.092529116
1378.68,-0.092325006
1378.76,-0.092110339
1378.84,-0.091885491
1378.92,-0.091650437
1379,-0.091405229
1379.08,-0.091150096
1379.16,-0.090884733
1379.24,-0.090609391
1379.32,-0.090324508
1379.4,-0.09003012
1379.48,-0.089726294
1379.56,-0.089413163
1379.64,-0.089090918
1379.72,-0.088759739
1379.8,-0.088419742
1379.88,-0.088071052
1379.96,-0.087713683
1380.04,-0.087348014
1380.12,-0.086973829
1380.2,-0.086591218
1380.28,-0.086200397
1380.36,-0.085801429
1380.44,-0.085394441
1380.52,-0.084979459
1380.6,-0.084556638
1380.68,-0.084126007
1380.76,-0.083687654
1380.84,-0.083241621
1380.92,-0.082788016
1381,-0.082327032
1381.08,-0.081858753
1381.16,-0.08138325
1381.24,-0.080900378
1381.32,-0.080410711
1381.4,-0.079914083
1381.48,-0.079410617
1381.56,-0.07890037
1381.64,-0.078383393
1381.72,-0.077859721
1381.8,-0.077329458
1381.88,-0.076792676
1381.96,-0.07624944
1382.04,-0.075699868
1382.12,-0.075144032
1382.2,-0.074581821
1382.28,-0.074013318
1382.36,-0.073438492
1382.44,-0.072857329
1382.52,-0.072269885
1382.6,-0.071676217
1382.68,-0.071076446
1382.76,-0.070470527
1382.84,-0.069858526
1382.92,-0.069240534
1383,-0.06861657
1383.08,-0.067986834
1383.16,-0.067351311
1383.24,-0.066709761
1383.32,-0.066062229
1383.4,-0.065408627
1383.48,-0.064748931
1383.56,-0.064083325
1383.64,-0.063411977
1383.72,-0.062734857
1383.8,-0.062051886
1383.88,-0.061363025
1383.96,-0.060668287
1384.04,-0.059967767
1384.12,-0.059261508
1384.2,-0.058549467
1384.28,-0.057831672
1384.36,-0.057108096
1384.44,-0.056378704
1384.52,-0.055643485
1384.6,-0.054902391
1384.68,-0.054155169
1384.76,-0.053401934
1384.84,-0.052642837
1384.92,-0.051877834
1385,-0.051107128
1385.08,-0.050330661
1385.16,-0.049548504
1385.24,-0.048760505
1385.32,-0.047966329
1385.4,-0.047165896
1385.48,-0.046359616
1385.56,-0.045547418
1385.64,-0.044729289
1385.72,-0.043905361
1385.8,-0.043075545
1385.88,-0.04223989
1385.96,-0.041398427
1386.04,-0.040551127
1386.12,-0.039697885
1386.2,-0.038838583
1386.28,-0.037973291
1386.36,-0.037102143
1386.44,-0.036225164
1386.52,-0.035342458
1386.6,-0.03445405
1386.68,-0.033559843
1386.76,-0.032659771
1386.84,-0.031753897
1386.92,-0.030842311
1387,-0.029925022
1387.08,-0.029002058
1387.16,-0.028073411
1387.24,-0.02713905
1387.32,-0.026199007
1387.4,-0.025253373
1387.48,-0.024302199
1387.56,-0.023345425
1387.64,-0.022383127
1387.72,-0.021415312
1387.8,-0.020442055
1387.88,-0.019463687
1387.96,-0.018480113
1388.04,-0.017491362
1388.12,-0.016497607
1388.2,-0.015498914
1388.28,-0.014495318
1388.36,-0.013486963
1388.44,-0.012473737
1388.52,-0.011455556
1388.6,-0.01043271
1388.68,-0.009405374
1388.76,-0.00837362
1388.84,-0.007337601
1388.92,-0.006297508
1389,-0.005253223
1389.08,-0.004204676
1389.16,-0.003152284
1389.24,-0.002096143
1389.32,-0.001036557
1389.48,0.001092709
1389.56,0.002162308
1389.64,0.003235078
1389.72,0.004310917
1389.8,0.005389699
1389.88,0.006471113
1389.96,0.00755503
1390.04,0.00864128
1390.12,0.009729748
1390.2,0.01082034
1390.28,0.011912744
1390.36,0.013006697
1390.44,0.01410204
1390.52,0.015198673
1390.6,0.016296351
1390.68,0.017394932
1390.76,0.018494281
1390.84,0.01959416
1390.92,0.020694504
1391,0.021795095
1391.08,0.022895649
1391.16,0.023995883
1391.24,0.025095673
1391.32,0.026194778
1391.4,0.027292927
1391.48,0.028389861
1391.56,0.029485223
1391.64,0.030578785
1391.72,0.031670586
1391.8,0.03276029
1391.88,0.033847615
1391.96,0.034932331
1392.04,0.036013979
1392.12,0.037092442
1392.2,0.03816751
1392.28,0.039238952
1392.36,0.040306768
1392.44,0.041370801
1392.52,0.042430581
1392.6,0.043485712
1392.68,0.044535828
1392.76,0.045581116
1392.84,0.04662049
1392.92,0.047653912
1393,0.04868141
1393.08,0.049702793
1393.16,0.050717724
1393.24,0.051725853
1393.32,0.052726967
1393.4,0.053720852
1393.48,0.054707204
1393.56,0.055685834
1393.64,0.056656515
1393.72,0.057618963
1393.8,0.05857267
1393.88,0.059517331
1393.96,0.060452621
1394.04,0.061378213
1394.12,0.062293895
1394.2,0.063199621
1394.28,0.064095166
1394.36,0.064980247
1394.44,0.065854595
1394.52,0.066717912
1394.6,0.067569946
1394.68,0.068410404
1394.76,0.069238998
1394.84,0.070055388
1394.92,0.070859404
1395,0.071650744
1395.08,0.072429278
1395.16,0.073194801
1395.24,0.073946985
1395.32,0.074685328
1395.4,0.075409746
1395.48,0.076120174
1395.56,0.076816208
1395.64,0.077497711
1395.72,0.078164609
1395.8,0.078816604
1395.88,0.079453486
1395.96,0.080075189
1396.04,0.080681309
1396.12,0.081271683
1396.2,0.081846101
1396.28,0.082404356
1396.36,0.082946258
1396.44,0.08347152
1396.52,0.083979895
1396.6,0.084471338
1396.68,0.084945759
1396.76,0.085402982
1396.84,0.085842952
1396.92,0.086265339
1397,0.0866699
1397.08,0.087056583
1397.16,0.087425371
1397.24,0.087776168
1397.32,0.088108922
1397.4,0.088423594
1397.48,0.088719812
1397.56,0.088997534
1397.64,0.089256625
1397.72,0.08949698
1397.8,0.08971862
1397.88,0.089921466
1397.96,0.090105556
1398.04,0.09027084
1398.12,0.090417197
1398.2,0.090544599
1398.28,0.090652995
1398.36,0.090742317
1398.44,0.090812496
1398.52,0.090863512
1398.6,0.090895519
1398.68,0.090908408
1398.76,0.090902198
1398.84,0.090876903
1398.92,0.090832377
1399,0.090768707
1399.08,0.090686049
1399.16,0.090584492
1399.24,0.090464065
1399.32,0.090324836
1399.4,0.090166887
1399.48,0.089990265
1399.56,0.089795088
1399.64,0.08958159
1399.72,0.089349798
1399.8,0.089099731
1399.88,0.08883158
1399.96,0.088545531
1400.04,0.088241374
1400.12,0.087919356
1400.2,0.087579441
1400.28,0.087221938
1400.36,0.086847086
1400.44,0.086455065
1400.52,0.086046096
1400.6,0.085620444
1400.68,0.085178187
1400.76,0.084719441
1400.84,0.084244413
1400.92,0.083753289
1401,0.083246241
1401.08,0.082723504
1401.16,0.082185295
1401.24,0.081631777
1401.32,0.08106313
1401.4,0.080479674
1401.48,0.079881615
1401.56,0.079269219
1401.64,0.078642766
1401.72,0.078002591
1401.8,0.077348901
1401.88,0.076681937
1401.96,0.076002455
1402.04,0.075310347
1402.12,0.074605771
1402.2,0.073888955
1402.28,0.073160148
1402.36,0.072419644
1402.44,0.07166774
1402.52,0.070904632
1402.6,0.070130744
1402.68,0.069346375
1402.76,0.06855185
1402.84,0.067747443
1402.92,0.066933497
1403,0.066110392
1403.08,0.065278493
1403.16,0.064438038
1403.24,0.063589255
1403.32,0.062732454
1403.4,0.061868005
1403.48,0.060996352
1403.56,0.060117635
1403.64,0.059232091
1403.72,0.058339828
1403.8,0.057441427
1403.88,0.056537249
1403.96,0.055627611
1404.04,0.054712779
1404.12,0.053793061
1404.2,0.052868871
1404.28,0.05194062
1404.36,0.05100854
1404.44,0.050072639
1404.52,0.049133188
1404.6,0.0481906
1404.68,0.047245268
1404.76,0.04629736
1404.84,0.045347163
1404.92,0.044395103
1405,0.043441631
1405.08,0.042487058
1405.16,0.041531408
1405.24,0.040574904
1405.32,0.039617802
1405.4,0.038660436
1405.48,0.037703133
1405.56,0.03674613
1405.64,0.035789676
1405.72,0.034834038
1405.8,0.03387939
1405.88,0.032925916
1405.96,0.031974035
1406.04,0.031023812
1406.12,0.03007555
1406.2,0.029129743
1406.28,0.028186546
1406.36,0.027246014
1406.44,0.026308326
1406.52,0.025373696
1406.6,0.024442413
1406.68,0.023514909
1406.76,0.022590811
1406.84,0.021670225
1406.92,0.020753414
1407,0.019840614
1407.08,0.018932056
1407.16,0.018028032
1407.24,0.017128827
1407.32,0.016234485
1407.4,0.015345112
1407.48,0.014460537
1407.56,0.013581273
1407.64,0.012707208
1407.72,0.011838358
1407.8,0.010974884
1407.88,0.010117007
1407.96,0.009264818
1408.04,0.008418316
1408.12,0.007577663
1408.2,0.006742804
1408.28,0.005913686
1408.36,0.005090703
1408.44,0.004274047
1408.52,0.003463568
1408.6,0.002659221
1408.68,0.001861086
1408.76,0.001069178
1408.84,0.000283512
1408.92,-0.000495939
1409,-0.001269408
1409.08,-0.002036602
1409.16,-0.002797471
1409.24,-0.003551992
1409.32,-0.004300211
1409.4,-0.005042054
1409.48,-0.005777646
1409.56,-0.006507035
1409.64,-0.007230073
1409.72,-0.007946845
1409.8,-0.008657626
1409.88,-0.009362251
1409.96,-0.010060728
1410.04,-0.010753102
1410.12,-0.011439538
1410.2,-0.012119843
1410.28,-0.012794182
1410.36,-0.013462663
1410.44,-0.014125333
1410.52,-0.014782263
1410.6,-0.015433143
1410.68,-0.016078012
1410.76,-0.016717556
1410.84,-0.017351672
1410.92,-0.017980383
1411,-0.018603835
1411.08,-0.019222003
1411.16,-0.019834993
1411.24,-0.020442906
1411.32,-0.021045758
1411.4,-0.021643583
1411.48,-0.022236458
1411.56,-0.02282464
1411.64,-0.023408043
1411.72,-0.023986763
1411.8,-0.024560712
1411.88,-0.02513006
1411.96,-0.025694892
1412.04,-0.026255192
1412.12,-0.026811053
1412.2,-0.027362643
1412.28,-0.027909996
1412.36,-0.028453401
1412.44,-0.028992679
1412.52,-0.029527988
1412.6,-0.030059443
1412.68,-0.030587104
1412.76,-0.031110843
1412.84,-0.031630714
1412.92,-0.032146805
1413,-0.032659039
1413.08,-0.033167456
1413.16,-0.033672147
1413.24,-0.034173199
1413.32,-0.034670629
1413.4,-0.035164529
1413.48,-0.03565494
1413.56,-0.036141847
1413.64,-0.036625272
1413.72,-0.037105228
1413.8,-0.03758169
1413.88,-0.038054661
1413.96,-0.038524104
1414.04,-0.038990101
1414.12,-0.039452619
1414.2,-0.039911571
1414.28,-0.040366931
1414.36,-0.040818665
1414.44,-0.041266708
1414.52,-0.041711144
1414.6,-0.04215198
1414.68,-0.042589089
1414.76,-0.043022343
1414.84,-0.043451663
1414.92,-0.043876975
1415,-0.044298258
1415.08,-0.044715422
1415.16,-0.045128437
1415.24,-0.045537317
1415.32,-0.045941913
1415.4,-0.046342075
1415.48,-0.046737756
1415.56,-0.04712878
1415.64,-0.047515012
1415.72,-0.047896344
1415.8,-0.048272658
1415.88,-0.048643911
1415.96,-0.049009946
1416.04,-0.049370617
1416.12,-0.049725845
1416.2,-0.050075466
1416.28,-0.050419213
1416.36,-0.050756908
1416.44,-0.051088416
1416.52,-0.051413403
1416.6,-0.051731837
1416.68,-0.052043633
1416.76,-0.052348372
1416.84,-0.052646223
1416.92,-0.052937041
1417,-0.053220565
1417.08,-0.053496694
1417.16,-0.053765219
1417.24,-0.054025756
1417.32,-0.054278094
1417.4,-0.054521698
1417.48,-0.054756585
1417.56,-0.05498271
1417.64,-0.05520001
1417.72,-0.055408244
1417.8,-0.055607167
1417.88,-0.055796647
1417.96,-0.055976354
1418.04,-0.056146029
1418.12,-0.056305431
1418.2,-0.056454364
1418.28,-0.056592637
1418.36,-0.056720085
1418.44,-0.056836354
1418.52,-0.0569412
1418.6,-0.057034487
1418.68,-0.057115973
1418.76,-0.057185378
1418.84,-0.057242659
1418.92,-0.057287601
1419,-0.057319935
1419.08,-0.057339505
1419.16,-0.057346381
1419.24,-0.057340501
1419.32,-0.057321553
1419.4,-0.057288846
1419.48,-0.057242283
1419.56,-0.05718173
1419.64,-0.057107042
1419.72,-0.057017863
1419.8,-0.056913987
1419.88,-0.056795373
1419.96,-0.056661982
1420.04,-0.056513624
1420.12,-0.056350028
1420.2,-0.056171007
1420.28,-0.055976611
1420.36,-0.055766824
1420.44,-0.055541283
1420.52,-0.055299993
1420.6,-0.055042813
1420.68,-0.054769546
1420.76,-0.054480121
1420.84,-0.054174382
1420.92,-0.053852393
1421,-0.053513919
1421.08,-0.053158529
1421.16,-0.052786419
1421.24,-0.052397287
1421.32,-0.051991278
1421.4,-0.051568566
1421.48,-0.05112894
1421.56,-0.050672382
1421.64,-0.050198991
1421.72,-0.049708958
1421.8,-0.049202157
1421.88,-0.048678691
1421.96,-0.048138257
1422.04,-0.047580082
1422.12,-0.047004667
1422.2,-0.046412266
1422.28,-0.04580293
1422.36,-0.045176764
1422.44,-0.044533924
1422.52,-0.043874469
1422.6,-0.04319841
1422.68,-0.042505865
1422.76,-0.041797036
1422.84,-0.041072093
1422.92,-0.040330525
1423,-0.039572384
1423.08,-0.038798208
1423.16,-0.038008182
1423.24,-0.037202481
1423.32,-0.036381238
1423.4,-0.035544613
1423.48,-0.034692882
1423.56,-0.033826314
1423.64,-0.032944932
1423.72,-0.032048898
1423.8,-0.03113839
1423.88,-0.0302138
1423.96,-0.029275108
1424.04,-0.028322571
1424.12,-0.02735652
1424.2,-0.026377187
1424.28,-0.025384808
1424.36,-0.024379684
1424.44,-0.023362094
1424.52,-0.022332455
1424.6,-0.021291106
1424.68,-0.02023844
1424.76,-0.01917462
1424.84,-0.018099974
1424.92,-0.01701472
1425,-0.01591908
1425.08,-0.014813419
1425.16,-0.013698121
1425.24,-0.012573438
1425.32,-0.01143981
1425.4,-0.01029782
1425.48,-0.009147716
1425.56,-0.007989679
1425.64,-0.006824499
1425.72,-0.005652432
1425.8,-0.004473686
1425.88,-0.003288686
1425.96,-0.002097869
1426.04,-0.000901631
1426.12,0.00029955
1426.2,0.001505204
1426.28,0.002714927
1426.36,0.003928117
1426.44,0.005144408
1426.52,0.00636356
1426.6,0.007585241
1426.68,0.008809068
1426.76,0.010034618
1426.84,0.011261386
1426.92,0.012489011
1427,0.013717259
1427.08,0.01494493
1427.16,0.016171952
1427.24,0.017397662
1427.32,0.018621527
1427.4,0.019843332
1427.48,0.02106268
1427.56,0.022279161
1427.64,0.023492303
1427.72,0.024701644
1427.8,0.025906796
1427.88,0.027107363
1427.96,0.028303008
1428.04,0.029493186
1428.12,0.030677384
1428.2,0.031855095
1428.28,0.033025633
1428.36,0.034188623
1428.44,0.0353436
1428.52,0.036490638
1428.6,0.037629581
1428.68,0.03875994
1428.76,0.039880911
1428.84,0.040991944
1428.92,0.042092701
1429,0.043182854
1429.08,0.04426189
1429.16,0.045329245
1429.24,0.046384963
1429.32,0.047428512
1429.4,0.048459436
1429.48,0.049477142
1429.56,0.050481541
1429.64,0.051472327
1429.72,0.052449101
1429.8,0.053411409
1429.88,0.054358854
1429.96,0.055291228
1430.04,0.056208234
1430.12,0.057109549
1430.2,0.057994847
1430.28,0.058863706
1430.36,0.059715826
1430.44,0.060550994
1430.52,0.061368787
1430.6,0.062169047
1430.68,0.062951699
1430.76,0.063716524
1430.84,0.06446315
1430.92,0.065191352
1431,0.065900397
1431.08,0.066590162
1431.16,0.067260165
1431.24,0.067910492
1431.32,0.06854105
1431.4,0.069151737
1431.48,0.069742524
1431.56,0.070313016
1431.64,0.070863041
1431.72,0.07139258
1431.8,0.071901224
1431.88,0.072388868
1431.96,0.072855435
1432.04,0.07330077
1432.12,0.073724554
1432.2,0.07412674
1432.28,0.07450725
1432.36,0.074866149
1432.44,0.075202959
1432.52,0.075517396
1432.6,0.075809981
1432.68,0.076080557
1432.76,0.07632882
1432.84,0.076554917
1432.92,0.076759148
1433,0.076941191
1433.08,0.077100997
1433.16,0.077238456
1433.24,0.077353371
1433.32,0.077445861
1433.4,0.077515936
1433.48,0.077563577
1433.56,0.077588763
1433.64,0.077591499
1433.72,0.077571951
1433.8,0.077530147
1433.88,0.077466226
1433.96,0.077380171
1434.04,0.07727204
1434.12,0.077141974
1434.2,0.076990095
1434.28,0.076816417
1434.36,0.076620957
1434.44,0.076403702
1434.52,0.076164885
1434.6,0.075904558
1434.68,0.075622911
1434.76,0.075320084
1434.84,0.074996237
1434.92,0.074651591
1435,0.074286229
1435.08,0.073899957
1435.16,0.073493073
1435.24,0.073065683
1435.32,0.072617791
1435.4,0.072149679
1435.48,0.071661591
1435.56,0.071153851
1435.64,0.070626713
1435.72,0.070080313
1435.8,0.069514924
1435.88,0.068930745
1435.96,0.06832775
1436.04,0.067706166
1436.12,0.067066273
1436.2,0.066408323
1436.28,0.06573256
1436.36,0.065039185
1436.44,0.064328346
1436.52,0.063600176
1436.6,0.062854958
1436.68,0.062092511
1436.76,0.061313635
1436.84,0.060518578
1436.92,0.05970763
1437,0.058881088
1437.08,0.058039129
1437.16,0.057181949
1437.24,0.056309804
1437.32,0.055422775
1437.4,0.054521238
1437.48,0.053605548
1437.56,0.052675974
1437.64,0.051732857
1437.72,0.050776379
1437.8,0.04980668
1437.88,0.04882399
1437.96,0.047828648
1438.04,0.04682116
1438.12,0.045801731
1438.2,0.04477056
1438.28,0.043727928
1438.36,0.042674259
1438.44,0.041609811
1438.52,0.040534799
1438.6,0.039449549
1438.68,0.03835439
1438.76,0.037249436
1438.84,0.036135147
1438.92,0.035011885
1439,0.033879717
1439.08,0.032738922
1439.16,0.031589979
1439.24,0.030433315
1439.32,0.029269198
1439.4,0.028097825
1439.48,0.026919549
1439.56,0.025734682
1439.64,0.024543551
1439.72,0.023346321
1439.8,0.022143243
1439.88,0.02093467
1439.96,0.019720881
1440.04,0.01850223
1440.12,0.017279346
1440.2,0.016052277
1440.28,0.01482141
1440.36,0.013587019
1440.44,0.012349432
1440.52,0.011108858
1440.6,0.009865688
1440.68,0.008620341
1440.76,0.007373025
1440.84,0.006124013
1440.92,0.00487379
1441,0.003622606
1441.08,0.002370821
1441.16,0.001118529
1441.24,-0.000134062
1441.32,-0.001386577
1441.4,-0.002638593
1441.48,-0.003889721
1441.56,-0.005139623
1441.64,-0.006388014
1441.72,-0.007634603
1441.8,-0.008879048
1441.88,-0.010121041
1441.96,-0.01136019
1442.04,-0.012596077
1442.12,-0.0138286
1442.2,-0.015057544
1442.28,-0.016282658
1442.36,-0.01750359
1442.44,-0.018720014
1442.52,-0.019931515
1442.6,-0.021137663
1442.68,-0.022338051
1442.76,-0.02353253
1442.84,-0.024720891
1442.92,-0.02590285
1443,-0.027078212
1443.08,-0.02824658
1443.16,-0.029407688
1443.24,-0.030560962
1443.32,-0.031706069
1443.4,-0.032842822
1443.48,-0.033970959
1443.56,-0.035090114
1443.64,-0.036199975
1443.72,-0.037300556
1443.8,-0.038391634
1443.88,-0.039472606
1443.96,-0.040543209
1444.04,-0.041602716
1444.12,-0.042651317
1444.2,-0.043688514
1444.28,-0.04471422
1444.36,-0.045728141
1444.44,-0.046729843
1444.52,-0.047719023
1444.6,-0.048695536
1444.68,-0.04965924
1444.76,-0.050609827
1444.84,-0.051546909
1444.92,-0.052470091
1445,-0.05337927
1445.08,-0.054274137
1445.16,-0.055154143
1445.24,-0.056019458
1445.32,-0.0568699
1445.4,-0.057705131
1445.48,-0.058524841
1445.56,-0.059328707
1445.64,-0.060116241
1445.72,-0.060887327
1445.8,-0.061641704
1445.88,-0.062379207
1445.96,-0.063099881
1446.04,-0.063803808
1446.12,-0.064490898
1446.2,-0.065160051
1446.28,-0.065811253
1446.36,-0.066444275
1446.44,-0.067058924
1446.52,-0.067655031
1446.6,-0.06823243
1446.68,-0.068790932
1446.76,-0.069330365
1446.84,-0.069850548
1446.92,-0.070351263
1447,-0.070832349
1447.08,-0.071293633
1447.16,-0.071734927
1447.24,-0.072156166
1447.32,-0.072557293
1447.4,-0.072938105
1447.48,-0.073298267
1447.56,-0.073638129
1447.64,-0.073957554
1447.72,-0.074256387
1447.8,-0.074534295
1447.88,-0.074790899
1447.96,-0.075026247
1448.04,-0.075240297
1448.12,-0.075433089
1448.2,-0.075604516
1448.28,-0.07575467
1448.36,-0.075883432
1448.44,-0.075990684
1448.52,-0.076076179
1448.6,-0.076139812
1448.68,-0.076181596
1448.76,-0.076201607
1448.84,-0.076199839
1448.92,-0.076176343
1449,-0.076131084
1449.08,-0.076064107
1449.16,-0.075975513
1449.24,-0.075865418
1449.32,-0.075733813
1449.4,-0.075580532
1449.48,-0.075405511
1449.56,-0.075208971
1449.64,-0.074991104
1449.72,-0.074752001
1449.8,-0.074491412
1449.88,-0.074209374
1449.96,-0.073906079
1450.04,-0.073581672
1450.12,-0.073236232
1450.2,-0.072870018
1450.28,-0.072483022
1450.36,-0.07207529
1450.44,-0.071647233
1450.52,-0.071198824
1450.6,-0.070730451
1450.68,-0.070242214
1450.76,-0.069734311
1450.84,-0.069206837
1450.92,-0.068659849
1451,-0.068093402
1451.08,-0.067507928
1451.16,-0.06690374
1451.24,-0.066280758
1451.32,-0.065639555
1451.4,-0.064980473
1451.48,-0.06430362
1451.56,-0.063609237
1451.64,-0.062897264
1451.72,-0.062168136
1451.8,-0.061422178
1451.88,-0.060659618
1451.96,-0.059880563
1452.04,-0.059085445
1452.12,-0.058274638
1452.2,-0.057448475
1452.28,-0.056607291
1452.36,-0.055751383
1452.44,-0.054881168
1452.52,-0.053996996
1452.6,-0.053099023
1452.68,-0.052187621
1452.76,-0.051263134
1452.84,-0.05032587
1452.92,-0.049376147
1453,-0.04841441
1453.08,-0.047441108
1453.16,-0.046456623
1453.24,-0.045461161
1453.32,-0.044455257
1453.4,-0.043439308
1453.48,-0.042413835
1453.56,-0.041379232
1453.64,-0.040335783
1453.72,-0.039283896
1453.8,-0.038223944
1453.88,-0.037156198
1453.96,-0.036081404
1454.04,-0.034999851
1454.12,-0.033911956
1454.2,-0.032818069
1454.28,-0.031718584
1454.36,-0.030613752
1454.44,-0.029504265
1454.52,-0.028390581
1454.6,-0.027272994
1454.68,-0.026151918
1454.76,-0.025027946
1454.84,-0.023901418
1454.92,-0.022772671
1455,-0.021642324
1455.08,-0.020510862
1455.16,-0.019378618
1455.24,-0.018246065
1455.32,-0.017113542
1455.4,-0.015981505
1455.48,-0.014850397
1455.56,-0.013720675
1455.64,-0.012592742
1455.72,-0.011466974
1455.8,-0.010343799
1455.88,-0.009223762
1455.96,-0.008107406
1456.04,-0.006995052
1456.12,-0.005887314
1456.2,-0.00478438
1456.28,-0.003686501
1456.36,-0.002594136
1456.44,-0.001507438
1456.52,-0.000426824
1456.6,0.000647022
1456.68,0.00171363
1456.76,0.00277259
1456.84,0.003823545
1456.92,0.004866174
1457,0.005900152
1457.08,0.006925063
1457.16,0.007940674
1457.24,0.008946607
1457.32,0.009942584
1457.4,0.010928169
1457.48,0.011902867
1457.56,0.012866249
1457.64,0.013818093
1457.72,0.014757869
1457.8,0.015685755
1457.88,0.016601318
1457.96,0.017505037
1458.04,0.018395632
1458.12,0.01927269
1458.2,0.02013613
1458.28,0.020985753
1458.36,0.021821281
1458.44,0.022642504
1458.52,0.023449144
1458.6,0.024240969
1458.68,0.025017826
1458.76,0.025779476
1458.84,0.026525783
1458.92,0.027256717
1459,0.027972336
1459.08,0.028671778
1459.16,0.029354842
1459.24,0.030021404
1459.32,0.030671302
1459.4,0.031304417
1459.48,0.031920686
1459.56,0.032520043
1459.64,0.033102192
1459.72,0.033667502
1459.8,0.034215822
1459.88,0.034746965
1459.96,0.035260652
1460.04,0.035756736
1460.12,0.036235117
1460.2,0.03669582
1460.28,0.037138741
1460.36,0.037563697
1460.44,0.037970572
1460.52,0.038359629
1460.6,0.03873091
1460.68,0.039084589
1460.76,0.03942029
1460.84,0.039738153
1460.92,0.040038225
1461,0.040320813
1461.08,0.040585902
1461.16,0.040833276
1461.24,0.041062924
1461.32,0.041274925
1461.4,0.04146938
1461.48,0.041646357
1461.56,0.041805964
1461.64,0.041947888
1461.72,0.042073325
1461.8,0.04218196
1461.88,0.042273941
1461.96,0.042348814
1462.04,0.042406835
1462.12,0.042448376
1462.2,0.042473693
1462.28,0.042482971
1462.36,0.042476334
1462.44,0.042453883
1462.52,0.042415792
1462.6,0.04236223
1462.68,0.04229323
1462.76,0.042209171
1462.84,0.042110183
1462.92,0.041996468
1463,0.041868291
1463.08,0.041726016
1463.16,0.041569996
1463.24,0.041400552
1463.32,0.041217674
1463.4,0.041021494
1463.48,0.040812286
1463.56,0.040590326
1463.64,0.040355816
1463.72,0.040109101
1463.8,0.039850603
1463.88,0.03958044
1463.96,0.039298637
1464.04,0.039005792
1464.12,0.038702327
1464.2,0.038388466
1464.28,0.038064535
1464.36,0.037730641
1464.44,0.037387137
1464.52,0.037034297
1464.6,0.03667223
1464.68,0.036301015
1464.76,0.035921601
1464.84,0.035534383
1464.92,0.035139615
1465,0.034737623
1465.08,0.034328625
1465.16,0.033912891
1465.24,0.033490546
1465.32,0.033061994
1465.4,0.032627514
1465.48,0.032187519
1465.56,0.031742369
1465.64,0.031292303
1465.72,0.030837378
1465.8,0.030378045
1465.88,0.029914874
1465.96,0.029448152
1466.04,0.028978263
1466.12,0.028505536
1466.2,0.028030567
1466.28,0.027553739
1466.36,0.027074848
1466.44,0.026594045
1466.52,0.026111518
1466.6,0.025627524
1466.68,0.02514253
1466.76,0.024657144
1466.84,0.024171509
1466.92,0.023686665
1467,0.023202592
1467.08,0.02271934
1467.16,0.022237058
